time,timestamp,frontend_productcatalogservice,adservice_mysql,productcatalogservice_mysql,checkoutservice_cartservice,frontend_recommendationservice,frontend_adservice,frontend_currencyservice,gateway_nats,recommendationservice_productcatalogservice,checkoutservice_currencyservice,checkoutservice_shippingservice,frontend_shippingservice,checkoutservice_productcatalogservice,frontend_checkoutservice,cartservice_redis-cart,checkoutservice_emailservice,frontend_cartservice,checkoutservice_paymentservice
2022-08-21 08:16:59.876414626 +0000 UTC m=+600.684237007,1661069819,0.03421052631578952,6.636,12.915733333333334,0.004714285714285714,0.4166666666666667,0.02125,0.013571428571428568,0.019600000000000003,0.40217391304347827,0.005,0.0036,0.004200000000000001,0.025,0.23125,0.6374666666666667,0.004,0.005543478260869566,0.003
2022-08-21 08:17:59.774092394 +0000 UTC m=+660.581914759,1661069879,0.061124401913875595,6.216,11.808666666666666,0.005833333333333333,0.35625,0.020397727272727272,0.009761904761904763,0.0232,0.3508771929824561,0.08749999999999998,0.0036666666666666666,0.004375,0.031249999999999997,0.25,0.5401333333333334,0.01,0.005153061224489796,0.0075
2022-08-21 08:18:59.717883892 +0000 UTC m=+720.525706253,1661069939,0.01839449541284403,7.14,12.4864,0.006666666666666666,0.2575757575757576,0.020102040816326532,0.00823076923076923,0.019600000000000003,0.07499999999999991,0.05,0.0036666666666666666,0.004125,0.008,0.175,0.5554666666666667,0.0075,0.0066,0.003
2022-08-21 08:19:59.730321032 +0000 UTC m=+780.538143403,1661069999,0.00814327485380117,8.484,14.960266666666666,0.005,0.02220338983050848,0.01978813559322034,0.008246268656716418,0.0232,0.018203125,0.0075,0.0034000000000000002,0.003666666666666667,0.008333333333333331,0.2125,0.6148666666666667,0.00625,0.0068103448275862065,0.004
2022-08-21 08:20:59.814391271 +0000 UTC m=+840.622213641,1661070059,0.007102888086642599,7.98,17.1432,0.003,0.022631578947368423,0.019193548387096773,0.009789473684210525,0.019600000000000003,0.015294117647058824,0.004666666666666666,0.0034000000000000002,0.003,0.0075,0.175,0.6723333333333333,0.0075,0.004666666666666666,0.004
2022-08-21 08:21:59.819315881 +0000 UTC m=+900.627138243,1661070119,0.007570093457943926,7.476,14.428,0.006,0.022551020408163265,0.02085106382978723,0.009586330935251798,0.0228,0.013749999999999997,0.0075,0.003,0.00348,0.006875,0.1,0.6066,0.006666666666666666,0.00460655737704918,0.0036666666666666666
2022-08-21 08:22:59.713471662 +0000 UTC m=+960.521294022,1661070179,0.008555900621118013,8.316,15.134133333333333,0.005,0.025357142857142852,0.019915254237288134,0.008005952380952381,0.019600000000000003,0.017291666666666664,0.004200000000000001,0.0032857142857142855,0.0035714285714285718,0.0075,0.25,0.6813333333333333,0.0075,0.0065116279069767444,0.0036666666666666666
2022-08-21 08:23:59.86140882 +0000 UTC m=+1020.669231208,1661070239,0.008152173913043478,8.568,15.369733333333334,0.007,0.024375,0.02,0.008533834586466166,0.0228,0.018671875,0.007499999999999998,0.0034000000000000002,0.003888888888888889,0.01375,0.2125,0.6592666666666667,0.00625,0.0061805555555555555,0.004
2022-08-21 08:24:59.775698786 +0000 UTC m=+1080.583521158,1661070299,0.008529411764705883,1.596,2.736466666666667,0.005,0.026785714285714284,0.01890625,0.007425000000000001,0.0212,0.015357142857142856,0.003,0.003,,0.005,0.0375,0.1474,0.003,0.005,0.003
2022-08-21 08:26:00.115839944 +0000 UTC m=+1140.923662305,1661070360,0.008625,1.596,2.9316666666666666,0.004,0.02638888888888889,0.017941176470588235,0.007252475247524752,0.019600000000000003,0.017499999999999995,0.003,0.005,,0.0075,0.03125,0.20146666666666666,0.003,0.00546875,0.0075
2022-08-21 08:27:00.223982043 +0000 UTC m=+1201.031804404,1661070420,0.008636363636363636,1.26,2.778,0.008,0.02159090909090909,0.016923076923076923,0.006628787878787879,0.019600000000000003,0.015357142857142857,0.0075,0.005,,0.005,0.0375,0.14786666666666667,0.0075,0.005625,0.0075
2022-08-21 08:28:00.020213482 +0000 UTC m=+1260.828035864,1661070480,0.0076878612716763,8.148,14.654399999999999,0.005,0.026041666666666668,0.019681818181818182,0.009038461538461539,0.0228,0.01592105263157895,0.005,0.003,0.003142857142857143,0.003,0.25,0.6504666666666667,0.0075,0.0062012987012987015,0.003
2022-08-21 08:28:59.919147946 +0000 UTC m=+1320.726970324,1661070539,0.008814338235294117,7.98,14.674266666666666,0.005,0.028571428571428574,0.019568965517241382,0.007553956834532374,0.0228,0.019609375,0.005,0.0036666666666666666,0.004157894736842105,0.01,0.2,0.6422666666666667,0.003,0.005307017543859649,0.005
2022-08-21 08:29:59.742961804 +0000 UTC m=+1380.550784163,1661070599,0.008373786407766991,7.56,15.6536,0.005714285714285714,0.02326923076923077,0.019764150943396223,0.008485401459854014,0.0216,0.01703125,0.004555555555555556,0.003666666666666667,0.003384615384615385,0.006875,0.3125,0.6865333333333333,0.005,0.004833333333333334,0.004
2022-08-21 08:30:59.861988499 +0000 UTC m=+1440.669810865,1661070659,0.008553370786516854,8.064,14.656533333333332,0.0061111111111111106,0.02226190476190476,0.020528846153846154,0.00819672131147541,0.0212,0.01596153846153846,0.00625,0.0038000000000000004,0.004333333333333334,0.009642857142857142,0.175,0.7535333333333333,0.007083333333333334,0.005878378378378379,0.0045
2022-08-21 08:31:59.788877173 +0000 UTC m=+1500.596699561,1661070719,0.008327922077922078,8.148,14.650133333333333,0.004333333333333333,0.023990384615384615,0.021337209302325584,0.009396551724137933,0.0213,0.014539473684210527,0.01375,0.0038571428571428567,0.0042727272727272735,0.007,0.375,0.6915333333333333,0.006875,0.00634375,0.003
2022-08-21 08:32:59.826108593 +0000 UTC m=+1560.633930953,1661070779,0.00851923076923077,8.232,14.498266666666666,0.0034000000000000002,0.021805555555555557,0.019827586206896553,0.008647540983606558,0.0212,0.015454545454545453,0.006666666666666668,0.003,0.0036666666666666666,0.005625,0.175,0.5098,0.00625,0.004719298245614035,0.003
2022-08-21 08:33:59.745606109 +0000 UTC m=+1620.553428489,1661070839,0.008363192182410422,7.14,13.782933333333332,0.0037272727272727275,0.024451219512195123,0.75,0.008703703703703705,0.0212,0.0203125,0.009375000000000001,0.0032857142857142855,0.004833333333333334,0.009583333333333334,0.225,0.6173333333333334,0.0032857142857142855,0.005141509433962264,0.004200000000000001
2022-08-21 08:34:59.721533041 +0000 UTC m=+1680.529355410,1661070899,0.007970588235294118,7.224,12.719866666666666,,0.02089622641509434,0.75,0.008356643356643356,0.0228,0.014499999999999999,,,0.004571428571428571,,,0.5522666666666667,,0.00660958904109589,
2022-08-21 08:35:59.908154994 +0000 UTC m=+1740.715977354,1661070959,0.008253424657534246,6.972,12.106,0.0065,0.02480263157894737,0.75,0.008130434782608695,0.0228,0.017,0.0048,0.0032857142857142855,0.003444444444444444,0.014166666666666668,0.175,0.49273333333333336,0.0075,0.006654411764705883,0.005
2022-08-21 08:36:59.634111736 +0000 UTC m=+1800.441934095,1661071019,0.007880622837370243,7.308,15.503866666666667,0.004200000000000001,0.023088235294117646,0.01857142857142857,0.007851239669421488,0.0212,0.016796875,0.0042727272727272735,0.005,0.0034761904761904765,0.009166666666666668,0.175,0.6326,0.005,0.00446875,0.003
2022-08-21 08:37:59.866915133 +0000 UTC m=+1860.674737494,1661071079,0.00781021897810219,7.56,15.772133333333333,0.0032222222222222222,0.022794117647058822,0.02035,0.0077066115702479334,0.0214,0.014199999999999999,0.0075,0.003,0.004066666666666666,0.005714285714285714,0.175,0.5899333333333333,0.004333333333333333,0.0041875,0.0035
2022-08-21 08:38:59.744348804 +0000 UTC m=+1920.552171164,1661071139,0.007956026058631922,8.148,15.7636,0.007,0.022723214285714284,0.019439655172413795,0.00811023622047244,0.0212,0.014791666666666665,0.0042727272727272735,0.004200000000000001,0.0030714285714285717,0.007222222222222221,0.1,0.6307999999999999,0.0075,0.006728395061728395,0.003
2022-08-21 08:39:59.886719636 +0000 UTC m=+1980.694542003,1661071199,0.008623693379790942,8.064,16.782666666666668,0.006875,0.023695652173913038,0.022065217391304348,0.008543307086614174,0.019600000000000003,0.017279411764705883,0.00625,0.0032222222222222222,0.0035555555555555557,0.01,0.175,0.5992666666666666,0.0075,0.006286764705882354,0.0035
2022-08-21 08:40:59.799648506 +0000 UTC m=+2040.607470874,1661071259,0.008775720164609053,8.064,15.545733333333333,0.004200000000000001,0.022647058823529412,0.019915254237288134,0.0078000000000000005,0.019600000000000003,0.014191176470588235,0.0075,0.0036666666666666666,0.0032105263157894736,0.009,0.375,0.6137333333333334,0.005,0.004890909090909091,0.0036666666666666666
2022-08-21 08:42:00.088813399 +0000 UTC m=+2100.896635761,1661071320,0.008579335793357934,,14.564266666666667,0.004200000000000001,0.02402173913043478,0.04659090909090909,0.00858108108108108,0.019600000000000003,0.01723214285714286,0.01,0.004200000000000001,0.003888888888888889,0.01375,0.225,0.5592666666666667,0.006666666666666666,0.005432692307692308,0.0036666666666666666
2022-08-21 08:42:59.984087219 +0000 UTC m=+2160.791909581,1661071379,0.008759469696969698,,13.782933333333332,0.005,0.02724358974358974,0.8,0.00857615894039735,,0.020625,0.005,0.005,0.003533333333333333,0.008,0.175,0.48086666666666666,0.006666666666666666,0.0067424242424242425,0.0036666666666666666
2022-08-21 08:43:59.892337076 +0000 UTC m=+2220.700159435,1661071439,0.0076941176470588235,7.812,18.226133333333333,0.005833333333333333,0.02318548387096774,0.02824074074074074,0.012727272727272724,,0.018823529411764708,0.07272727272727272,0.0035,0.0035625,0.0096875,0.375,0.8696666666666666,0.006875,0.006049382716049383,0.0035
2022-08-21 08:44:59.941420125 +0000 UTC m=+2280.749242485,1661071499,0.008227002967359051,7.98,16.705333333333332,0.00425,0.0235,0.02273255813953488,0.008029197080291973,0.0228,0.017134146341463413,0.0035555555555555557,0.003,0.0034,0.0061111111111111106,0.15625,0.6764666666666667,0.0065,0.004026315789473685,0.003
2022-08-21 08:45:59.999872888 +0000 UTC m=+2340.807695265,1661071559,0.008512396694214877,7.56,13.7964,0.004333333333333333,0.02460526315789474,0.022804878048780487,0.009080882352941178,0.019600000000000003,0.01825,0.0036666666666666666,0.003,0.003999999999999999,0.0075,0.175,0.5198666666666667,0.0075,0.00492156862745098,0.003
2022-08-21 08:46:59.916090816 +0000 UTC m=+2400.723913193,1661071619,0.007592592592592593,8.232,14.936133333333332,0.0038000000000000004,0.022311320754716982,0.023846153846153847,0.009196428571428572,0.0228,0.015755813953488372,0.02125,0.0041111111111111105,0.0037368421052631578,0.009285714285714286,0.2125,0.6818666666666666,0.0045,0.006428571428571428,0.003333333333333333
2022-08-21 08:47:59.776643428 +0000 UTC m=+2460.584465796,1661071679,0.007847633136094673,7.812,15.737333333333334,0.006818181818181819,0.02277777777777778,0.09791666666666667,0.00850409836065574,0.019600000000000003,0.01425,0.005,0.0035454545454545456,0.003272727272727273,0.0084375,0.175,0.6710666666666667,0.0075,0.006360759493670886,0.0045
2022-08-21 08:48:59.859898531 +0000 UTC m=+2520.667720900,1661071739,0.007271929824561404,7.98,15.11,0.005,0.02430232558139535,0.11022727272727269,0.009770642201834863,0.0212,0.015249999999999998,0.004714285714285714,0.0036666666666666666,0.004142857142857143,0.015625,0.2125,0.6230666666666668,0.0075,0.006521739130434783,0.006666666666666666
2022-08-21 08:49:59.891896567 +0000 UTC m=+2580.699718939,1661071799,0.007759146341463415,7.644,16.107066666666668,0.005416666666666667,0.024375,0.09166666666666666,0.008987068965517242,0.0228,0.01642857142857143,0.0036666666666666666,0.003666666666666667,0.003952380952380953,0.007999999999999998,0.25,0.6636,0.005,0.004150684931506851,0.004
2022-08-21 08:50:59.679609989 +0000 UTC m=+2640.487432350,1661071859,0.008126843657817108,7.644,16.437066666666666,0.005,0.023676470588235295,0.026041666666666664,0.009790076335877864,0.021733333333333334,0.015625,0.004222222222222223,0.0036666666666666666,0.0036,0.00975,0.25,0.7900666666666667,0.006,0.005466101694915254,0.005
2022-08-21 08:51:59.925118261 +0000 UTC m=+2700.732940649,1661071919,0.007776872964169381,7.56,15.985733333333334,0.005,0.023990384615384615,0.020047169811320757,0.007389705882352942,0.0228,0.014545454545454547,0.0075,0.004333333333333333,0.004157894736842105,0.0115,0.175,0.6838666666666666,0.005833333333333333,0.004931034482758621,0.0035
2022-08-21 08:52:59.703602608 +0000 UTC m=+2760.511424981,1661071979,0.00797029702970297,7.308,16.0056,0.006,0.023723404255319148,0.022613636363636367,0.01857142857142857,0.0228,0.018749999999999996,0.0075,0.003,0.0041111111111111105,0.008333333333333333,0.25,0.6859333333333333,0.0075,0.006627906976744187,0.003
2022-08-21 08:53:59.967628086 +0000 UTC m=+2820.775450446,1661072039,0.008864406779661018,7.728,14.4188,0.006875,0.02225,0.020138888888888887,0.008553921568627451,0.0228,0.017833333333333336,0.0036,0.003,0.004,0.00875,0.1,0.7108666666666666,0.006875,0.006085526315789474,0.0035
2022-08-21 08:54:59.852864346 +0000 UTC m=+2880.660686707,1661072099,0.00797970479704797,8.316,16.10493333333333,0.004,0.02,0.019568965517241382,0.00798780487804878,0.0228,0.012432432432432432,0.00875,0.0036666666666666666,0.0035454545454545456,0.008125,0.2125,0.6194,0.005,0.004026315789473685,0.005
2022-08-21 08:56:00.030593259 +0000 UTC m=+2940.838415619,1661072160,0.007728813559322035,8.316,16.205733333333335,0.0036,0.020615384615384615,0.02125,0.008274647887323945,0.0228,0.01375,0.05625000000000001,0.003666666666666667,0.003285714285714286,0.0075,0.23125,0.7159333333333333,0.005,0.004830508474576271,0.003
2022-08-21 08:56:59.834346007 +0000 UTC m=+3000.642168387,1661072219,0.0085,7.14,14.614666666666666,0.0036666666666666666,0.022449999999999998,0.028846153846153855,0.009198473282442748,0.019600000000000003,0.016346153846153847,0.06,0.0032857142857142855,0.003384615384615385,0.00875,0.375,0.6102666666666666,0.003,0.005,0.0036666666666666666
2022-08-21 08:57:59.994790698 +0000 UTC m=+3060.802613059,1661072279,0.008794416243654823,7.56,12.172,0.005,0.02395348837209302,0.024038461538461536,0.00837890625,0.021266666666666666,0.018671875,0.005,0.003,0.003625,0.01,,0.49119999999999997,0.0075,0.006397058823529411,0.005
2022-08-21 08:58:59.829779019 +0000 UTC m=+3120.637601396,1661072339,0.00876996805111821,8.232,13.9348,0.006,0.02894736842105264,0.022228260869565218,0.008495762711864408,0.0212,0.021890243902439023,0.004166666666666666,0.0036666666666666666,0.0039000000000000003,0.01107142857142857,0.2125,0.7146666666666667,0.008333333333333331,0.006716867469879518,0.005
2022-08-21 08:59:59.947944209 +0000 UTC m=+3180.755766573,1661072399,0.008902439024390243,7.476,16.019066666666667,0.0055,0.024399999999999998,0.0209375,0.023750000000000004,0.0212,0.01984375,0.003941176470588235,0.0034,0.004473684210526317,0.007142857142857143,0.19,0.6597999999999999,0.0067857142857142855,0.005198412698412699,0.00625
2022-08-21 09:00:59.971604493 +0000 UTC m=+3240.779426863,1661072459,0.008485804416403786,9.156,15.9176,0.0038571428571428567,0.024549999999999995,0.020735294117647057,0.007714285714285715,0.0228,0.0172,0.0175,0.0032222222222222222,0.003909090909090909,0.01,0.175,0.7199333333333333,0.005833333333333333,0.004492957746478874,0.0035
2022-08-21 09:02:00.004870327 +0000 UTC m=+3300.812692698,1661072520,0.008141191709844559,7.98,17.053066666666666,0.006875,0.02485576923076923,0.020044642857142855,0.009423076923076923,0.019600000000000003,0.01375,0.03125,0.0064285714285714285,0.0044444444444444444,0.006875,0.25,0.7062,0.008125,0.004253333333333333,0.005833333333333333
2022-08-21 09:02:59.991777466 +0000 UTC m=+3360.799599826,1661072579,0.008341836734693879,7.98,15.4052,0.006666666666666666,0.02375,0.02096153846153846,0.008119999999999999,0.019600000000000003,0.0175,0.004333333333333333,0.004200000000000001,0.0032307692307692306,0.01,0.1375,0.7153333333333334,0.006666666666666666,0.00629746835443038,0.0036666666666666666
2022-08-21 09:03:59.807683493 +0000 UTC m=+3420.615505864,1661072639,0.008581349206349207,7.896,13.226533333333332,0.005,0.021666666666666664,0.019642857142857142,0.008874045801526717,0.0228,0.01206896551724138,0.004,0.005,0.0035555555555555557,0.0075,0.375,0.6240666666666668,0.0075,0.006178571428571429,0.003
2022-08-21 09:04:59.705310409 +0000 UTC m=+3480.513132778,1661072699,0.008515901060070672,6.468,15.9396,0.003444444444444444,0.023723404255319148,0.02960526315789474,0.011363636363636371,0.019600000000000003,0.01926470588235294,0.0035,0.0032,0.0034545454545454545,0.0077777777777777776,0.19,0.6975333333333333,0.006875,0.004573770491803278,0.0035
2022-08-21 09:05:59.89037111 +0000 UTC m=+3540.698193496,1661072759,0.008252551020408163,4.872,10.5256,0.003,0.024407894736842104,0.6666666666666666,0.006975806451612903,0.0228,0.013,0.0625,0.003,0.004058823529411765,0.0075,0.25,0.4933333333333333,0.005,0.004791666666666666,0.003
2022-08-21 09:06:59.657671864 +0000 UTC m=+3600.465494232,1661072819,0.007390829694323144,3.9406,11.5688,0.0075,0.02361842105263158,0.725,0.008375,0.019600000000000003,0.0178125,0.1375,0.003,0.0035714285714285713,0.0075,0.2125,0.4996666666666667,0.0075,0.0060648148148148145,0.003
2022-08-21 09:07:59.891409849 +0000 UTC m=+3660.699232210,1661072879,0.007611607142857143,4.284,13.707733333333334,0.006666666666666666,0.022115384615384613,0.671875,0.008574380165289256,0.019600000000000003,0.012100000000000001,0.00625,0.003,0.003533333333333333,0.007083333333333334,0.175,0.4668,0.0075,0.0063114754098360665,0.003
2022-08-21 09:08:59.783884518 +0000 UTC m=+3720.591706887,1661072939,0.007625,7.896,15.114266666666666,0.004,0.02359375,0.02101063829787234,0.01230769230769231,0.019600000000000003,0.01707142857142857,0.0045,0.0034000000000000002,0.0035,0.015,0.2,0.6626000000000001,0.004,0.004619047619047619,0.004
2022-08-21 09:09:59.808933533 +0000 UTC m=+3780.616755895,1661072999,0.008409763313609467,8.652,15.9176,0.005,0.0271875,0.02011904761904762,0.008721374045801525,0.0228,0.01661764705882353,0.004428571428571428,0.005,0.003842105263157895,0.009,0.2,0.727,0.005,0.0047391304347826095,0.005
2022-08-21 09:11:00.155632387 +0000 UTC m=+3840.963454746,1661073060,0.007598784194528875,7.476,14.498266666666666,0.005,0.022058823529411763,0.019776785714285715,0.008858695652173912,0.0212,0.01275,0.005,0.003,0.003941176470588235,0.0075,0.175,0.5970666666666667,0.003,0.0056640625,0.003
2022-08-21 09:11:59.729554079 +0000 UTC m=+3900.537376457,1661073119,0.00870262390670554,7.14,16.81533333333333,0.00575,0.02743055555555556,0.01986111111111111,0.008576923076923077,0.021866666666666666,0.017279411764705883,0.05588235294117647,0.0032857142857142855,0.004555555555555556,0.011406250000000001,0.225,0.7734666666666667,0.0075,0.0063125,0.0036666666666666666
2022-08-21 09:12:59.870387015 +0000 UTC m=+3960.678209393,1661073179,0.007908450704225353,7.812,14.3308,0.0036666666666666666,0.02236111111111111,0.02056122448979592,0.008589108910891088,0.0228,0.016093749999999997,0.005,0.003,0.003888888888888889,0.0175,0.175,0.5903333333333334,0.0075,0.005096153846153847,0.005
2022-08-21 09:13:59.675164772 +0000 UTC m=+4020.482987132,1661073239,0.009447463768115942,8.82,14.144133333333333,0.0038571428571428567,0.02678571428571429,0.02125,0.008073248407643313,0.019600000000000003,0.01947368421052632,0.0035714285714285713,0.0035,0.0034000000000000002,0.009642857142857142,0.2125,0.6671333333333334,0.004333333333333333,0.005357142857142857,0.003
2022-08-21 09:15:00.002149807 +0000 UTC m=+4080.809972199,1661073300,0.00884963768115942,7.644,16.46333333333333,0.005625,0.022801724137931034,0.019954545454545454,0.009115044247787613,0.0228,0.01698275862068965,0.005,0.003,0.0033448275862068963,0.00625,0.3125,0.7518666666666667,0.005,0.004723076923076924,0.003
2022-08-21 09:15:59.801039123 +0000 UTC m=+4140.608861505,1661073359,0.007686915887850467,7.056,16.4832,0.005833333333333333,0.02865853658536585,0.019899999999999998,0.007517605633802818,0.019600000000000003,0.01548076923076923,0.004733333333333333,0.0035,0.003769230769230769,0.006666666666666666,0.205,0.6579333333333333,0.008125,0.005860655737704918,0.003333333333333333
2022-08-21 09:16:59.713745126 +0000 UTC m=+4200.521567498,1661073419,0.00839968152866242,7.644,14.3904,0.006,0.02598684210526316,0.020735294117647057,0.046354166666666655,0.019600000000000003,0.01642857142857143,0.0642857142857143,0.004200000000000001,0.003941176470588235,0.0075,0.25,0.622,0.0075,0.0069594594594594595,0.003
2022-08-21 09:17:59.911800252 +0000 UTC m=+4260.719622613,1661073479,0.008601694915254237,7.476,15.171733333333334,0.004428571428571428,0.022941176470588232,0.021329787234042556,0.008464566929133858,0.019600000000000003,0.020625,0.0375,0.003,0.0034000000000000002,0.008,0.2,0.6541333333333333,0.005,0.004159420289855073,0.004
2022-08-21 09:18:59.97136045 +0000 UTC m=+4320.779182812,1661073539,0.008166089965397924,8.652,16.190133333333332,0.004,0.02340425531914894,0.02125,0.02670454545454545,0.019600000000000003,0.014499999999999999,0.0175,0.003666666666666667,0.0033000000000000004,0.008392857142857143,0.34375,0.5768,0.005,0.005204081632653061,0.004
2022-08-21 09:20:00.105887351 +0000 UTC m=+4380.913709711,1661073600,0.00776006711409396,8.484,16.511599999999998,0.006,0.02390625,0.02140625,0.006864035087719299,0.0228,0.017258064516129032,0.003461538461538461,0.0032857142857142855,0.003625,0.0075,0.175,0.5957333333333333,0.0075,0.005875,0.003
2022-08-21 09:21:00.081769572 +0000 UTC m=+4440.889591944,1661073660,0.008545918367346939,7.812,14.920533333333333,0.007045454545454545,0.023392857142857146,0.02148936170212766,0.00968,0.0212,0.014921874999999998,0.004066666666666666,0.005,0.00348,0.012142857142857143,0.25,0.6946666666666667,0.0075,0.006066666666666666,0.004
2022-08-21 09:22:00.007422708 +0000 UTC m=+4500.815245069,1661073720,0.007965686274509803,7.812,14.2648,0.005,0.025,0.0202,0.02941176470588237,0.0232,0.018055555555555557,0.0075,0.003181818181818182,0.003941176470588235,0.007,0.175,0.5828,0.005,0.005,0.0034000000000000002
2022-08-21 09:23:00.03600941 +0000 UTC m=+4560.843831774,1661073780,0.008706293706293706,8.652,14.159733333333334,0.005357142857142857,0.030128205128205132,0.020178571428571428,0.008528225806451614,0.0212,0.018108108108108104,0.00625,0.00425,0.004,0.009444444444444445,0.19,0.7285333333333333,0.007083333333333334,0.005087719298245614,0.003333333333333333
2022-08-21 09:24:00.001799727 +0000 UTC m=+4620.809622091,1661073840,0.008278210116731518,7.56,17.218400000000003,0.004555555555555556,0.0218359375,0.020178571428571428,0.0092,0.0212,0.012965116279069766,0.014999999999999996,0.0032857142857142855,0.0038181818181818187,0.006875,0.19642857142857142,0.7813333333333333,0.006666666666666666,0.004696969696969696,0.003
2022-08-21 09:24:59.938458865 +0000 UTC m=+4680.746281226,1661073899,0.007857142857142856,7.644,14.621733333333333,0.005,0.022105263157894735,0.019736842105263157,0.009532520325203252,0.020666666666666667,0.012661290322580647,0.00475,0.003181818181818182,0.00332,0.00875,0.2,0.7265333333333333,0.008,0.006423611111111112,0.003
2022-08-21 09:25:59.953185598 +0000 UTC m=+4740.761007958,1661073959,0.008084745762711865,8.82,14.5884,0.0064285714285714285,0.0213671875,0.02212765957446808,0.00849290780141844,0.0228,0.014342105263157894,0.0375,0.005833333333333333,0.0039000000000000003,0.006666666666666666,0.19,0.6881333333333334,0.0075,0.006233766233766234,0.0035
2022-08-21 09:27:00.006645273 +0000 UTC m=+4800.814467633,1661074020,0.007693965517241379,7.98,15.508133333333333,0.004,0.025,0.0222093023255814,0.007118055555555555,0.019600000000000003,0.01825,0.0038000000000000004,0.003,0.0036956521739130435,0.008333333333333331,0.075,0.6116,0.004,0.004070422535211268,0.003
2022-08-21 09:28:00.050735255 +0000 UTC m=+4860.858557615,1661074080,0.00907936507936508,9.072,14.406,0.005,0.02319444444444444,0.020677966101694912,0.007638036809815952,0.0212,0.016458333333333332,0.0175,0.004,0.003588235294117647,0.015625,0.175,0.6682666666666667,0.0075,0.005296610169491526,0.004
