time,timestamp,frontend_recommendationservice,cartservice_redis-cart,adservice_mysql,checkoutservice_productcatalogservice,recommendationservice_productcatalogservice,gateway_nats,checkoutservice_cartservice,frontend_adservice,checkoutservice_shippingservice,frontend_productcatalogservice,frontend_shippingservice,productcatalogservice_mysql,checkoutservice_emailservice,frontend_cartservice,checkoutservice_paymentservice,frontend_currencyservice,checkoutservice_currencyservice,frontend_checkoutservice
2022-08-20 09:33:30.204450279 +0000 UTC m=+660.558634290,1660988010,0.018262711864406783,0.7465333333333333,7.56,0.00325,0.0031797752808988763,0.0228,0.003,0.018418367346938778,0.003,0.003120603015075377,0.003,15.862933333333332,0.003,0.0030683760683760685,0.003,0.004800947867298578,0.004428571428571428,0.17499999999999996
2022-08-20 09:34:30.189301572 +0000 UTC m=+720.543485577,1660988070,0.019342105263157897,0.7196666666666667,7.644,0.0032222222222222222,0.003129032258064516,0.0228,0.003,0.01888888888888889,0.003,0.0030770465489566613,0.003,16.459066666666665,0.003,0.0030165289256198348,0.003,0.004348416289592761,0.0032222222222222222,0.25
2022-08-20 09:35:30.121703867 +0000 UTC m=+780.475887883,1660988130,0.019795918367346937,0.5871333333333333,7.812,0.0032857142857142855,0.003492753623188406,0.0228,0.003,0.01875,0.003,0.003190283400809717,0.002925925925925926,13.9568,0.003,0.003019417475728155,0.003,0.0047320574162679424,0.0041111111111111105,0.175
2022-08-20 09:36:30.570179907 +0000 UTC m=+840.924363921,1660988190,0.01723214285714286,0.6612,8.316,0.003142857142857143,0.0032142857142857142,0.0228,0.003,0.018823529411764708,0.003,0.0030652920962199316,0.003,15.3676,0.003,0.0030165289256198348,0.003,0.004535714285714285,0.01375,0.375
2022-08-20 09:37:30.226177039 +0000 UTC m=+900.580361054,1660988250,0.018352272727272727,0.6140666666666668,8.232,0.003363636363636364,0.0031882352941176467,0.0228,0.003,0.01894736842105263,0.002777777777777778,0.003107913669064748,0.003,15.231333333333334,0.003,0.0030943396226415097,0.003,0.00455023923444976,0.0048,0.1875
2022-08-20 09:38:30.10326554 +0000 UTC m=+960.457449545,1660988310,0.018076923076923077,0.7957333333333334,7.308,0.003363636363636364,0.0031777777777777776,0.0228,0.0034000000000000002,0.01795,0.0028,0.0030807754442649434,0.003,16.3136,0.003,0.0030310077519379846,0.003,0.004299539170506913,0.004666666666666666,0.3125
2022-08-20 09:39:30.212633523 +0000 UTC m=+1020.566817528,1660988370,0.018157894736842102,0.7008,8.316,0.003,0.0032298850574712643,0.0228,0.003,0.018793103448275863,0.003,0.0031204819277108435,0.003,15.717466666666667,0.003,0.003017094017094017,0.003,0.004650485436893204,0.015000000000000005,0.225
2022-08-20 09:40:30.278997055 +0000 UTC m=+1080.633181069,1660988430,0.018641304347826085,0.43346666666666667,4.536,0.003,0.00316,0.0228,0.003,0.018414634146341462,0.003,0.003806324110671937,0.0031333333333333335,8.971466666666668,0.005,0.0030833333333333333,0.003,0.007131147540983608,0.003,0.25
2022-08-20 09:41:30.387282256 +0000 UTC m=+1140.741466271,1660988490,0.021428571428571432,0.4720666666666667,5.208,0.003,0.0033859649122807015,0.0228,0.003,0.01875,0.003,0.004611570247933884,0.003,11.082,0.003,0.0030263157894736847,0.003,0.005612244897959184,0.0033076923076923075,0.175
2022-08-20 09:42:30.489440801 +0000 UTC m=+1200.843624806,1660988550,0.019166666666666665,0.45013333333333333,5.292,0.003,0.0034905660377358492,0.0228,0.003,0.020416666666666666,0.003,0.0040289855072463765,0.003,10.573866666666667,0.003,0.0030512820512820513,0.003,0.00627906976744186,0.003,0.175
2022-08-20 09:43:30.20392613 +0000 UTC m=+1260.558110135,1660988610,0.019893617021276597,0.4982,4.62,0.003,0.0039767441860465115,0.0228,0.003,0.020416666666666666,,0.005702127659574468,0.003,10.566799999999999,,0.0031066666666666664,0.003,0.009527027027027029,0.003,0.175
2022-08-20 09:44:30.202213724 +0000 UTC m=+1320.556397729,1660988670,0.01765,0.6837333333333333,7.56,0.003,0.003216867469879518,0.0228,0.003,0.02015625,0.003,0.0030977312390924956,0.003,15.275333333333334,0.003,0.003033613445378151,0.003,0.004387559808612441,0.007499999999999998,0.2125
2022-08-20 09:45:30.120944352 +0000 UTC m=+1380.475128358,1660988730,0.020333333333333335,0.6753333333333333,8.316,0.003333333333333333,0.0032696629213483145,0.0228,0.003,0.019375,0.002777777777777778,0.00311437908496732,0.003,16.353333333333335,0.003,0.003017094017094017,0.003,0.004473684210526316,0.0038571428571428567,0.125
2022-08-20 09:46:30.320506937 +0000 UTC m=+1440.674690942,1660988790,0.018975409836065573,0.7148666666666667,7.644,0.0031538461538461538,0.0034500000000000004,0.0228,0.003,0.01776785714285714,0.003,0.003135652173913043,0.003,15.7352,0.003,0.003017699115044248,0.003,0.03124999999999998,0.0375,0.21249999999999997
2022-08-20 09:47:30.243258995 +0000 UTC m=+1500.597443007,1660988850,0.021624999999999995,0.6288666666666667,8.232,0.0035714285714285713,0.0033157894736842108,0.0228,0.003,0.01796875,0.003,0.0031511627906976748,0.00292,14.139866666666666,0.003,0.0030366972477064223,0.003,0.004054852320675106,0.003909090909090909,0.175
2022-08-20 09:48:30.118901137 +0000 UTC m=+1560.473085143,1660988910,0.01720588235294118,0.6586666666666666,7.56,0.003,0.003225,0.0228,0.003,0.01859090909090909,0.003,0.003121323529411765,0.003,14.758,0.003,0.003,0.003,0.004808612440191387,0.004,0.175
2022-08-20 09:49:30.366162013 +0000 UTC m=+1620.720346018,1660988970,0.020108695652173915,0.49119999999999997,0.756,0.003,0.0032777777777777783,0.0228,0.003,0.018333333333333337,0.003,0.0030606060606060605,0.003,7.7274666666666665,0.003,0.0030317460317460317,0.003,0.0035314009661835746,0.003105263157894737,0.175
2022-08-20 09:50:30.209705102 +0000 UTC m=+1680.563889114,1660989030,0.017142857142857144,0.43346666666666667,1.512,0.003,0.003,0.0228,0.003,0.017058823529411765,0.003,0.0030655737704918034,0.003,6.407466666666666,0.003,0.003029411764705882,0.003,0.004017857142857143,0.004333333333333333,0.375
2022-08-20 09:51:30.381601836 +0000 UTC m=+1740.735785853,1660989090,0.019545454545454546,0.3651333333333333,1.008,0.003,0.0031333333333333335,0.0228,0.003,0.02125,0.003,0.0030158102766798416,0.003,6.484133333333333,0.003,0.003127659574468085,0.003,0.005178571428571428,0.00325,0.225
2022-08-20 09:52:30.110858106 +0000 UTC m=+1800.465042111,1660989150,0.0184375,0.6119333333333333,8.064,0.003,0.0032465753424657535,0.0228,0.003,0.017763157894736842,0.0028461538461538463,0.0031213307240704497,0.003,13.770133333333334,0.003,0.0030526315789473684,0.003,0.004703703703703704,0.003666666666666667,0.19
2022-08-20 09:53:30.421026528 +0000 UTC m=+1860.775210549,1660989210,0.018955223880597016,0.7336666666666666,8.064,0.003,0.0032352941176470584,0.0228,0.003,0.01838235294117647,0.003,0.0031449275362318845,0.0030689655172413794,15.041866666666667,0.003,0.0030689655172413794,0.003,0.004305439330543934,0.0041111111111111105,0.225
2022-08-20 09:54:30.198572239 +0000 UTC m=+1920.552756245,1660989270,0.01909836065573771,0.7232000000000001,8.484,0.003333333333333333,0.0031443298969072164,0.0228,0.003,0.018421052631578946,0.003,0.0031031250000000004,0.003,16.8884,0.003,0.0030483870967741933,0.003,0.0035258964143426294,0.013749999999999998,0.3125
2022-08-20 09:55:30.454665384 +0000 UTC m=+1980.808849475,1660989330,0.019375,0.6244,8.148,0.0032,0.003164705882352941,0.0228,0.0032222222222222222,0.01855,0.003,0.00314336917562724,0.003,15.453466666666667,0.003,0.003,0.003,0.004123893805309734,0.0375,0.2
2022-08-20 09:56:30.368743791 +0000 UTC m=+2040.722927796,1660989390,0.018112244897959182,0.6345333333333333,8.064,0.003,0.0032465753424657535,0.0228,0.003,0.018823529411764708,0.003,0.0031141732283464564,0.003,13.694933333333333,0.003,0.003054054054054054,0.003,0.004970873786407767,0.0035,0.25
2022-08-20 09:57:30.626146344 +0000 UTC m=+2100.980330349,1660989450,0.017833333333333336,0.5367999999999999,5.796,0.0031666666666666666,0.0034814814814814812,0.0228,0.003,0.019375,0.0027142857142857142,0.003181818181818182,0.003,11.3396,0.003,0.0030963855421686746,0.003,0.004477707006369427,0.0034000000000000002,0.175
2022-08-20 09:58:30.176806496 +0000 UTC m=+2160.530990501,1660989510,0.018850000000000002,0.5667333333333333,5.712,0.003181818181818182,0.003208955223880597,0.0228,0.003,0.01980769230769231,0.003,0.003536986301369863,0.003105263157894737,11.951333333333334,0.0035,0.003042105263157895,0.003,0.0049136690647482014,0.003,0.09166666666666666
2022-08-20 09:59:30.431342187 +0000 UTC m=+2220.785526201,1660989570,0.02181818181818182,0.5206666666666666,4.956,0.003142857142857143,0.0032181818181818184,0.0228,0.003,0.01826923076923077,0.0031538461538461538,0.0032817679558011055,0.003,10.754133333333334,0.003,0.0030722891566265062,0.003,0.005072463768115942,0.0030869565217391303,0.175
2022-08-20 10:00:30.415145463 +0000 UTC m=+2280.769329468,1660989630,0.018973214285714284,0.6711333333333334,7.728,0.003,0.003020618556701031,0.0228,0.003,0.02027173913043478,0.003,0.0030783034257748777,0.003,16.500933333333336,0.0035,0.0030341880341880345,0.003,0.004367924528301887,0.003363636363636364,0.21249999999999997
2022-08-20 10:01:30.411040701 +0000 UTC m=+2340.765224715,1660989690,0.018863636363636367,0.6927333333333333,6.888,0.0034705882352941177,0.0031818181818181815,0.0228,0.003,0.0175,0.003,0.0031146025878003693,0.0030833333333333333,14.460666666666667,0.003,0.0030877192982456145,0.003,0.0059482758620689625,0.0175,0.29166666666666663
2022-08-20 10:02:30.400684701 +0000 UTC m=+2400.754868715,1660989750,0.01868421052631579,0.6892,7.14,0.0031538461538461538,0.003088888888888889,0.0228,0.003,0.01888888888888889,0.003,0.0031135972461273664,0.003,15.796933333333332,0.0032222222222222222,0.0030517241379310347,0.003,0.004484978540772532,0.041666666666666664,0.25
2022-08-20 10:03:30.31433811 +0000 UTC m=+2460.668522124,1660989810,0.020384615384615386,0.7748666666666667,7.812,0.003,0.0035060240963855423,0.0228,0.003,0.018011363636363638,0.003,0.0031996672212978366,0.003,16.877066666666664,0.003,0.0030476190476190473,0.003,0.004648780487804878,0.004263157894736843,0.19375
2022-08-20 10:04:30.256341683 +0000 UTC m=+2520.610525688,1660989870,0.0184375,0.6052666666666666,8.484,0.003,0.0033076923076923075,0.0228,0.003,0.018017241379310343,0.003,0.003106382978723404,0.003,14.868,0.003,0.003,,0.004380530973451328,0.003,0.19375
2022-08-20 10:05:30.21437671 +0000 UTC m=+2580.568560739,1660989930,0.01806818181818182,0.6771333333333334,7.308,0.003,0.003119047619047619,0.0228,0.003,0.01814655172413793,0.003,0.003071186440677966,0.003,15.826799999999999,0.0034000000000000002,0.003016949152542373,0.003,0.004744493392070484,0.003923076923076923,0.25
2022-08-20 10:06:30.279238711 +0000 UTC m=+2640.633422717,1660989990,0.016944444444444446,0.7118666666666666,6.636,0.0035714285714285713,0.003108108108108108,0.0228,0.003,0.0190625,0.003,0.003180293501048218,0.003,13.284799999999999,,0.003072072072072072,0.003,0.00847560975609756,0.0046,0.175
2022-08-20 10:07:30.274776149 +0000 UTC m=+2700.628960154,1660990050,0.01847826086956522,0.5285333333333333,6.804,0.003,0.003153846153846154,0.0228,0.0036666666666666666,0.01875,0.003,0.003237442922374429,0.003,12.186933333333332,0.003,0.003,0.003,0.00578125,0.004555555555555556,0.1375
2022-08-20 10:08:30.34779728 +0000 UTC m=+2760.701981285,1660990110,0.017674418604651163,0.4358,4.536,0.0031666666666666666,0.003272727272727273,0.0228,0.003,0.018780487804878048,0.003,0.0032206405693950176,0.003,8.163866666666667,0.003,0.0031142857142857144,0.003,0.01634615384615385,0.075,0.075
2022-08-20 10:09:30.18318614 +0000 UTC m=+2820.537370145,1660990170,0.018365384615384617,0.665,8.316,0.003,0.0031219512195121953,0.0228,0.0032222222222222222,0.018360655737704918,0.003,0.0030791366906474816,0.003,14.835333333333335,0.004,0.003053571428571429,0.003,0.004016,0.003461538461538461,0.3125
2022-08-20 10:10:30.438153763 +0000 UTC m=+2880.792337777,1660990230,0.020050000000000002,0.6924666666666667,7.812,0.003,0.0033513513513513515,0.0228,0.003,0.01951219512195122,0.003,0.003198443579766537,0.003,14.538,0.003,0.0030166666666666666,0.003,0.005,0.003909090909090909,0.1375
2022-08-20 10:11:30.157733441 +0000 UTC m=+2940.511917445,1660990290,0.019025423728813558,0.6275333333333333,7.392,0.003,0.003172043010752688,0.0228,0.003,0.01875,0.003,0.0031658206429780035,0.003,16.4016,0.003,0.0030357142857142857,0.003,0.004446153846153846,0.007499999999999998,0.175
2022-08-20 10:12:30.380985463 +0000 UTC m=+3000.735169469,1660990350,0.017941176470588238,0.6452666666666667,7.224,0.003,0.0032972972972972973,0.0228,0.003,0.018970588235294118,0.0028823529411764704,0.003124513618677043,0.003,14.0604,0.003,0.003074766355140187,0.003,0.007314814814814816,0.0375,0.2
2022-08-20 10:13:30.163324397 +0000 UTC m=+3060.517508407,1660990410,0.02033018867924528,0.6804,7.98,0.0034000000000000002,0.00310752688172043,0.0228,0.0032857142857142855,0.01890625,0.0028666666666666667,0.003116040955631399,0.003,15.506,0.003,0.0030869565217391303,0.003,0.004415094339622641,0.01,0.2
2022-08-20 10:14:30.457628857 +0000 UTC m=+3120.811812862,1660990470,0.022102272727272727,0.6866,8.064,0.003,0.0032696629213483145,0.0228,0.003,0.019375,0.0028666666666666667,0.003129783693843594,0.003,16.371066666666668,0.003,0.003017699115044248,0.003,0.004097872340425532,0.03749999999999999,0.2125
2022-08-20 10:15:30.302709906 +0000 UTC m=+3180.656893911,1660990530,0.02,0.1714,2.016,0.003,0.0034,0.0228,0.003,0.020714285714285716,0.003,0.0032,0.003,3.504266666666667,0.0175,0.0030689655172413794,0.003,0.004971014492753623,0.005,0.175
2022-08-20 10:16:30.318188297 +0000 UTC m=+3240.672372310,1660990590,0.020625,0.20373333333333332,2.856,0.003,0.0030606060606060605,0.0228,0.003,0.0205,0.003,0.0034,0.00325,5.531066666666667,0.003,0.003,0.003,0.00469811320754717,0.0035,0.175
2022-08-20 10:17:30.271829759 +0000 UTC m=+3300.626013771,1660990650,0.023392857142857146,0.1666,2.856,0.003,0.0033076923076923075,0.0228,0.003,0.018035714285714283,0.003,0.0033291139240506328,0.003,4.657466666666666,0.003,0.0030625,0.003,0.0038648648648648646,0.003,0.075
2022-08-20 10:18:30.327459035 +0000 UTC m=+3360.681643050,1660990710,0.01762295081967213,0.7651333333333333,8.4,0.003,0.003065934065934066,0.0228,0.003,0.01966346153846154,0.003,0.003085324232081911,0.003,15.3832,0.005,0.003125984251968504,0.003,0.0042987012987012975,0.0036666666666666666,0.25
2022-08-20 10:19:30.475999977 +0000 UTC m=+3420.830183990,1660990770,0.018815789473684213,0.6959333333333333,8.064,0.0032,0.003295454545454546,0.0228,0.003,0.01891509433962264,0.003,0.003141955835962145,0.0031666666666666666,17.1148,0.003,0.003017094017094017,0.003,0.007499999999999997,0.0175,0.25
2022-08-20 10:20:30.165797559 +0000 UTC m=+3480.519981564,1660990830,0.018008474576271187,0.8932666666666667,8.568,0.0035833333333333333,0.003306122448979592,0.0228,0.0030952380952380953,0.02,0.003,0.003248085758039816,0.003,19.165733333333332,0.003,0.0030300751879699245,0.003,0.004697247706422019,0.039999999999999994,0.25
2022-08-20 10:21:30.194616475 +0000 UTC m=+3540.548800479,1660990890,0.01776315789473684,0.7208666666666667,8.4,0.0032,0.003127659574468085,0.0228,0.003,0.01810483870967742,0.003,0.003094616639477977,0.003,16.7344,0.003,0.003015625,0.003,0.003836501901140684,0.00325,0.2
2022-08-20 10:22:30.298773603 +0000 UTC m=+3600.652957608,1660990950,0.0187890625,0.6610666666666667,9.492,0.003,0.0030652173913043477,0.0228,0.003,0.017868852459016395,0.003,0.0030793103448275867,0.003,15.469066666666668,0.003,0.0030714285714285717,0.003,0.004525252525252525,0.004166666666666666,0.175
2022-08-20 10:23:30.271278809 +0000 UTC m=+3660.625462814,1660991010,0.0178,0.7044666666666667,7.896,0.0032222222222222222,0.0033076923076923075,0.0228,0.003,0.017754237288135594,0.003,0.0031431192660550454,0.002857142857142857,14.680666666666665,0.0034000000000000002,0.003016949152542373,0.003,0.004636363636363636,0.053125,0.1
2022-08-20 10:24:30.233454477 +0000 UTC m=+3720.587638491,1660991070,0.019078947368421056,0.5563333333333333,7.56,0.003,0.0032278481012658227,0.0228,0.003,0.0184375,0.003,0.003176125244618395,0.003,14.112933333333332,0.003,0.0031020408163265306,0.003,0.004742690058479532,0.0042727272727272735,0.2
2022-08-20 10:25:30.345662997 +0000 UTC m=+3780.699847012,1660991130,0.017875,0.6598666666666667,8.148,0.003,0.0031764705882352945,0.0228,0.003,0.01849056603773585,0.003,0.003103734439834025,0.003,12.990933333333333,0.003,0.0030357142857142857,0.003,0.0049704433497536945,0.0046,0.175
2022-08-20 10:26:30.141048218 +0000 UTC m=+3840.495232240,1660991190,0.018833333333333337,0.7564,7.308,0.0033076923076923075,0.0034651162790697676,0.0228,0.003,0.017932692307692306,0.003,0.0031993569131832794,0.003,17.251066666666667,0.003,0.003,0.003,0.004495327102803738,0.00425,0.19999999999999998
2022-08-20 10:27:30.490912569 +0000 UTC m=+3900.845096575,1660991250,0.018549999999999997,0.6864666666666667,7.224,0.003666666666666667,0.00335,0.0228,0.003,0.01890625,0.003,0.003156305506216697,0.003,15.591866666666666,0.003,0.003125,0.003,0.003915555555555556,0.007499999999999999,0.25
2022-08-20 10:28:30.236935235 +0000 UTC m=+3960.591119282,1660991310,0.01877358490566038,0.7340666666666668,8.484,0.0031666666666666666,0.0033373493975903615,0.0228,0.0032222222222222222,0.018590909090909092,0.003,0.0031481481481481477,0.0029130434782608694,16.188666666666666,0.0036666666666666666,0.0030826446280991736,0.003,0.004118110236220472,0.003333333333333333,0.19375
2022-08-20 10:29:30.247060261 +0000 UTC m=+4020.601244278,1660991370,0.01986842105263158,0.8222666666666667,8.232,0.00375,0.0032823529411764706,0.0228,0.003,0.0184,0.002818181818181818,0.0031162790697674423,0.003,16.122666666666667,0.0034000000000000002,0.0030634920634920633,0.003,0.006015624999999997,0.005,0.25
2022-08-20 10:30:30.368282717 +0000 UTC m=+4080.722466731,1660991430,0.016911764705882352,0.6088,8.904,0.003,0.0031318681318681318,0.0228,0.003,0.018942307692307692,0.003,0.00312991452991453,0.0030714285714285717,15.585466666666667,0.003,0.003156862745098039,0.003,0.004707865168539325,0.0375,0.2125
2022-08-20 10:31:30.249283168 +0000 UTC m=+4140.603467173,1660991490,0.021162790697674416,0.5332,5.88,0.003,0.003323529411764706,0.0228,0.003,0.019285714285714285,0.003,0.0031487603305785125,0.0030800000000000003,13.428133333333333,0.003,0.003103092783505155,0.003,0.003819672131147541,0.0036666666666666666,0.625
2022-08-20 10:32:30.450153681 +0000 UTC m=+4200.804337686,1660991550,0.02058823529411765,0.6510666666666667,7.476,0.0031666666666666666,0.003044943820224719,0.0228,0.003,0.01795,0.003,0.0030554592720970536,0.003,15.112133333333333,0.003,0.003,0.003,0.004034188034188034,0.003,0.75
2022-08-20 10:33:30.108614991 +0000 UTC m=+4260.462798997,1660991610,0.01926470588235294,0.6195333333333333,7.644,0.003333333333333333,0.003342857142857143,0.0228,0.003333333333333333,0.018571428571428572,0.003,0.0030801526717557258,0.003,13.547333333333334,0.003,0.0030366972477064223,0.003,0.00430841121495327,0.041666666666666664,0.75
2022-08-20 10:34:30.349745791 +0000 UTC m=+4320.703929797,1660991670,0.01894736842105263,0.5664666666666667,8.064,0.0035,0.003342857142857143,0.0228,0.003,0.018365384615384613,0.003,0.003154786150712831,0.003,12.9952,0.0034000000000000002,0.00304,0.003,0.004350427350427351,0.055,1.25
2022-08-20 10:35:30.156961536 +0000 UTC m=+4380.511145541,1660991730,0.018619402985074626,0.8043333333333333,8.484,0.003,0.00325,0.0228,0.003,0.01798387096774193,0.003,0.0030741885625965998,0.003,16.7628,0.003,0.003015748031496063,0.003,0.006022727272727269,0.029166666666666664,0.25
2022-08-20 10:36:30.299485637 +0000 UTC m=+4440.653669641,1660991790,0.02046875,0.7405333333333333,8.316,0.003461538461538461,0.0032758620689655174,0.0228,0.003,0.018590909090909092,0.003,0.003203735144312394,0.003,16.0652,0.003,0.0030655737704918034,0.003,0.004449781659388647,0.006666666666666666,0.175
2022-08-20 10:37:30.551369959 +0000 UTC m=+4500.905553964,1660991850,0.02125,0.6901333333333334,7.98,0.003125,0.003298850574712644,0.0228,0.003,0.018235294117647058,0.003,0.003113636363636363,0.003,16.494533333333333,0.003,0.0030707964601769913,0.003,0.0071249999999999985,0.004200000000000001,0.25
2022-08-20 10:38:30.38400326 +0000 UTC m=+4560.738187265,1660991910,0.018221153846153845,0.5886,8.316,0.0035,0.0032471910112359553,0.0228,0.003,0.01872950819672131,0.002777777777777778,0.003138047138047138,0.003,15.715333333333334,0.005,0.003036036036036036,0.003,0.004885416666666666,0.003,0.19375
2022-08-20 10:39:30.509334106 +0000 UTC m=+4620.863518118,1660991970,0.019095744680851064,0.6185333333333333,7.896,0.003,0.0031176470588235292,0.0228,0.0036666666666666666,0.0175,0.003,0.003126811594202899,0.003,14.372666666666666,0.003,0.003053571428571429,0.003,0.004527896995708154,0.0075,0.375
2022-08-20 10:40:30.153223715 +0000 UTC m=+4680.507407721,1660992030,0.01671641791044776,0.7186,7.056,0.003,0.0033703703703703704,0.0228,0.1,0.01984375,0.003,0.003128161888701518,0.003074074074074074,16.053866666666668,0.003,0.06041666666666666,0.003,0.004767195767195767,0.003833333333333333,0.375
2022-08-20 10:41:30.292363532 +0000 UTC m=+4740.646547554,1660992090,0.01973404255319149,0.6145333333333333,6.468,0.003,0.0032894736842105266,0.0228,0.075,0.018666666666666668,0.003,0.0030746003552397866,0.003,14.612533333333333,0.003,0.06607142857142857,0.003,0.017499999999999988,0.004200000000000001,0.375
2022-08-20 10:42:30.314759021 +0000 UTC m=+4800.668943025,1660992150,0.0165948275862069,0.6349333333333332,7.392,0.003,0.00325,0.0228,0.15625,0.01732558139534884,0.003,0.0030601769911504425,0.003,15.246266666666667,0.003,0.1708333333333333,0.003,0.003986899563318777,0.0041111111111111105,0.40625
2022-08-20 10:43:30.26745947 +0000 UTC m=+4860.621643475,1660992210,0.01926470588235294,0.6936,7.728,0.003,0.0035479452054794523,0.0228,0.175,0.01736607142857143,0.003,0.0031443661971830984,0.003,15.33,0.003,0.17412790697674416,0.003,0.005714285714285718,0.0038000000000000004,0.75
2022-08-20 10:44:30.321030149 +0000 UTC m=+4920.675214163,1660992270,0.019,0.6987333333333333,8.568,0.0032222222222222222,0.0033529411764705885,0.0228,0.003181818181818182,0.01790178571428571,0.003,0.003195876288659794,0.003,16.588933333333333,0.0034000000000000002,0.0031682242990654203,0.003,0.004907216494845362,0.0036666666666666666,0.175
2022-08-20 10:45:30.263647763 +0000 UTC m=+4980.617831808,1660992330,0.020625,0.6418666666666667,7.98,0.003,0.0033466666666666666,0.0228,0.0032857142857142855,0.01944444444444444,0.003,0.0031581920903954804,0.003,14.793466666666667,0.003,0.003036036036036036,0.003,0.004800995024875622,0.0075,0.19375
2022-08-20 10:46:30.421969266 +0000 UTC m=+5040.776153270,1660992390,0.019136363636363635,0.7402666666666666,7.812,0.003181818181818182,0.0031411764705882353,0.0228,0.003,0.01877358490566038,0.003,0.003163992869875223,0.003,15.6536,0.003,0.003157894736842105,0.003,0.008660714285714287,0.005,0.29166666666666663
2022-08-20 10:47:30.309103763 +0000 UTC m=+5100.663287778,1660992450,0.019948979591836734,0.6054666666666667,8.148,0.003,0.003219512195121951,0.0228,0.003,0.018804347826086955,0.0028461538461538463,0.003105646630236794,0.003,14.991466666666668,0.004,0.0031142857142857144,0.003,0.003728813559322034,0.0035454545454545456,0.175
